==========================================
SOFTWARE PACKAGE INVENTORY REPORT
==========================================
TimeStamp           : 08-07-2026 19:25:33
Operating System    : Ubuntu 24.04.4 LTS
Package Manager     : apt
Installed Packages  : 2077
Available Updates   : 8

==========================================
INSTALLED PACKAGE LIST
libmaxminddb0:amd64 1.9.1-1build1 Installed
libmbedcrypto7t64:amd64 2.28.8-1 Installed
libmbim-glib4:amd64 1.31.2-0ubuntu3.1 Installed
libmbim-proxy 1.31.2-0ubuntu3.1 Installed
libmbim-utils 1.31.2-0ubuntu3.1 Installed
libmd0:amd64 1.1.0-2build1.1 Installed
libmd0:i386 1.1.0-2build1.1 Installed
libmecab2:amd64 0.996-14ubuntu4 Installed
libmediaart-2.0-0:amd64 1.9.6-1build2 Installed
libmfx1:amd64 22.5.4-1 Installed
libmhash2:amd64 0.9.9.9-9build3 Installed
libminiupnpc17:amd64 2.2.6-1build2 Installed
libmjpegutils-2.1-0t64:amd64 1:2.1.0+debian-8.1build1 Installed
libmm-glib0:amd64 1.23.4-0ubuntu2 Installed
libmnl0:amd64 1.0.5-2build1 Installed
libmodplug1:amd64 1:0.8.9.0-3build1 Installed
libmount1:amd64 2.39.3-9ubuntu6.5 Installed
libmozjs-115-0t64:amd64 115.10.0-1 Installed
libmp3lame0:amd64 3.100-6build1 Installed
libmpc3:amd64 1.3.1-1build1.1 Installed
libmpcdec6:amd64 2:0.1~r495-2build1 Installed
libmpeg2-4:amd64 0.5.1-9build1 Installed
libmpeg2encpp-2.1-0t64:amd64 1:2.1.0+debian-8.1build1 Installed
libmpfr6:amd64 4.2.1-1build1.1 Installed
libmpg123-0t64:amd64 1.32.5-1ubuntu1.1 Installed
libmplex2-2.1-0t64:amd64 1:2.1.0+debian-8.1build1 Installed
libmsgraph-0-1:amd64 0.2.1-0ubuntu3 Installed
libmspub-0.1-1:amd64 0.1.4-3build7 Installed
libmtdev1t64:amd64 1.1.6-1.1build1 Installed
libmtp-common 1.1.21-3.1ubuntu1 Installed
libmtp-runtime 1.1.21-3.1ubuntu1 Installed
libmtp9t64:amd64 1.1.21-3.1ubuntu1 Installed
libmujs3:amd64 1.3.3-3build2 Installed
libmutter-14-0:amd64 46.2-1ubuntu0.24.04.15 Installed
libmwaw-0.3-3:amd64 0.3.22-1build1 Installed
libmysofa1:amd64 1.3.2+dfsg-2ubuntu2 Installed
libmythes-1.2-0:amd64 2:1.2.5-1build1 Installed
libnatpmp1t64:amd64 20230423-1.2build1 Installed
libnautilus-extension4:amd64 1:46.4-0ubuntu0.2 Installed
libncurses6:amd64 6.4+20240113-1ubuntu2.1 Installed
libncursesw6:amd64 6.4+20240113-1ubuntu2.1 Installed
libndp0:amd64 1.8-1fakesync1ubuntu0.24.04.1 Installed
libneon27t64:amd64 0.33.0-1.1build3 Installed
libnet-dbus-perl 1.2.0-2build3 Installed
libnet-http-perl 6.23-1 Installed
libnet-smtp-ssl-perl 1.04-2 Installed
libnet-ssleay-perl:amd64 1.94-1build4 Installed
libnetfilter-conntrack3:amd64 1.0.9-6build1 Installed
libnetplan1:amd64 1.1.2-8ubuntu1~24.04.2 Installed
libnettle8t64:amd64 3.9.1-2.2build1.1 Installed
libnewt0.52:amd64 0.52.24-2ubuntu2 Installed
libnfnetlink0:amd64 1.0.2-2build1 Installed
libnfs14:amd64 5.0.2-1ubuntu0.24.04.1 Installed
libnfsidmap1:amd64 1:2.6.4-3ubuntu5.1 Installed
libnftables1:amd64 1.0.9-1ubuntu0.1 Installed
libnftnl11:amd64 1.2.6-2build1 Installed
libnghttp2-14:amd64 1.59.0-1ubuntu0.4 Installed
libnice10:amd64 0.1.21-2build3 Installed
libnl-3-200:amd64 3.7.0-0.3build1.1 Installed
libnl-genl-3-200:amd64 3.7.0-0.3build1.1 Installed
libnl-route-3-200:amd64 3.7.0-0.3build1.1 Installed
libnm0:amd64 1.46.0-1ubuntu2.7 Installed
libnma-common 1.10.6-3build2 Installed
libnma-gtk4-0:amd64 1.10.6-3build2 Installed
libnma0:amd64 1.10.6-3build2 Installed
libnorm1t64:amd64 1.5.9+dfsg-3.1build1 Installed
libnotify-bin 0.8.3-1build2 Installed
libnotify4:amd64 0.8.3-1build2 Installed
libnpth0t64:amd64 1.6-3.1build1 Installed
libnspr4:amd64 2:4.35-1.1build1 Installed
libnss-mdns:amd64 0.15.1-4build1 Installed
libnss-sss:amd64 2.9.4-1.1ubuntu6.5 Installed
libnss-systemd:amd64 255.4-1ubuntu8.16 Installed
libnss3:amd64 2:3.98-1ubuntu0.2 Installed
libnss3-tools 2:3.98-1ubuntu0.2 Installed
libntfs-3g89t64:amd64 1:2022.10.3-1.2ubuntu3.1 Installed
libnuma1:amd64 2.0.18-1ubuntu0.24.04.1 Installed
libnvidia-cfg1-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-common-580 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-compute-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-compute-580:i386 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-decode-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-decode-580:i386 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-egl-wayland1:amd64 1:1.1.13-1ubuntu0.1 Installed
libnvidia-egl-wayland1:i386 1:1.1.13-1ubuntu0.1 Installed
libnvidia-encode-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-encode-580:i386 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-extra-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-fbc1-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-fbc1-580:i386 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-gl-580:amd64 580.159.03-0ubuntu0.24.04.1 Installed
libnvidia-gl-580:i386 580.159.03-0ubuntu0.24.04.1 Installed
libnvme1t64 1.8-3ubuntu1 Installed
libodfgen-0.1-1:amd64 0.1.8-2build3 Installed
libogg0:amd64 1.3.5-3build1 Installed
libonig5:amd64 6.9.9-1build1 Installed
libopenal-data 1:1.23.1-4build1 Installed
libopenal1:amd64 1:1.23.1-4build1 Installed
libopencc-data 1.1.7+ds1-1ubuntu0.1 Installed
libopencc1.1 1.1.7+ds1-1ubuntu0.1 Installed
libopenexr-3-1-30:amd64 3.1.5-5.1build3 Installed
libopengl0:amd64 1.7.0-1build1 Installed
libopenh264-7:amd64 2.4.1+dfsg-1 Installed
libopenjp2-7:amd64 2.5.0-2ubuntu0.5 Installed
libopenmpt0t64:amd64 0.7.3-1.1build3 Installed
libopenni2-0:amd64 2.2.0.33+dfsg-18 Installed
libopus0:amd64 1.4-1build1 Installed
libopusfile0:amd64 0.12-4build3 Installed
liborc-0.4-0t64:amd64 1:0.4.38-1ubuntu0.1 Installed
liborcus-0.18-0:amd64 0.19.2-3build3 Installed
liborcus-parser-0.18-0:amd64 0.19.2-3build3 Installed
libotf1:amd64 0.9.16-4build2 Installed
libp11-kit0:amd64 0.25.3-4ubuntu2.1 Installed
libpackagekit-glib2-18:amd64 1.2.8-2ubuntu1.5 Installed
libpagemaker-0.0-0:amd64 0.0.4-1build4 Installed
libpam-cap:amd64 1:2.66-5ubuntu2.4 Installed
libpam-fprintd:amd64 1.94.3-1 Installed
libpam-gnome-keyring:amd64 46.1-2ubuntu0.2 Installed
libpam-modules:amd64 1.5.3-5ubuntu5.5 Installed
libpam-modules-bin 1.5.3-5ubuntu5.5 Installed
libpam-pwquality:amd64 1.4.5-3build1 Installed
libpam-runtime 1.5.3-5ubuntu5.5 Installed
libpam-sss:amd64 2.9.4-1.1ubuntu6.5 Installed
libpam-systemd:amd64 255.4-1ubuntu8.16 Installed
libpam0g:amd64 1.5.3-5ubuntu5.5 Installed
libpango-1.0-0:amd64 1.52.1+ds-1build1 Installed
libpangocairo-1.0-0:amd64 1.52.1+ds-1build1 Installed
libpangoft2-1.0-0:amd64 1.52.1+ds-1build1 Installed
libpangomm-1.4-1v5:amd64 2.46.4-1build3 Installed
libpangomm-2.48-1t64:amd64 2.52.0-1build1 Installed
libpangoxft-1.0-0:amd64 1.52.1+ds-1build1 Installed
libpaper-utils 1.1.29build1 Installed
libpaper1:amd64 1.1.29build1 Installed
libparted2t64:amd64 3.6-4build1 Installed
libpath-utils1t64:amd64 0.6.2-2.1build1 Installed
libpcap0.8t64:amd64 1.10.4-4.1ubuntu3 Installed
libpcaudio0:amd64 1.2-2build3 Installed
libpci3:amd64 1:3.10.0-2build1 Installed
libpciaccess0:amd64 0.17-3ubuntu0.24.04.2 Installed
libpciaccess0:i386 0.17-3ubuntu0.24.04.2 Installed
libpcre2-32-0:amd64 10.42-4ubuntu2.1 Installed
libpcre2-8-0:amd64 10.42-4ubuntu2.1 Installed
libpcsclite1:amd64 2.0.3-1build1 Installed
libpeas-1.0-0:amd64 1.36.0-3build4 Installed
libpeas-common 1.36.0-3build4 Installed
libperl5.38t64:amd64 5.38.2-3.2ubuntu0.3 Installed
libpgm-5.3-0t64:amd64 5.3.128~dfsg-2.1build1 Installed
libphonenumber8:amd64 8.12.57+ds-4.2build3 Installed
libpinyin-data:amd64 2.8.1-1build3 Installed
libpinyin15:amd64 2.8.1-1build3 Installed
libpipeline1:amd64 1.5.7-2 Installed
libpipewire-0.3-0t64:amd64 1.0.5-1ubuntu3.2 Installed
libpipewire-0.3-common 1.0.5-1ubuntu3.2 Installed
libpipewire-0.3-modules:amd64 1.0.5-1ubuntu3.2 Installed
libpixman-1-0:amd64 0.42.2-1build1 Installed
libpkcs11-helper1t64:amd64 1.29.0-2.1build2 Installed
libpkgconf3:amd64 1.8.1-2build1 Installed
libplacebo338:amd64 6.338.2-2build1 Installed
libplist-2.0-4:amd64 2.3.0-1~exp2build2 Installed
libplymouth5:amd64 24.004.60-1ubuntu7.1 Installed
libpng16-16t64:amd64 1.6.43-5ubuntu0.6 Installed
libpocketsphinx3:amd64 0.8.0+real5prealpha+1-15ubuntu5 Installed
libpolkit-agent-1-0:amd64 124-2ubuntu1.24.04.3 Installed
libpolkit-gobject-1-0:amd64 124-2ubuntu1.24.04.3 Installed
libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.9 Installed
libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.9 Installed
libpoppler134:amd64 24.02.0-1ubuntu9.9 Installed
libpopt0:amd64 1.19+dfsg-1build1 Installed
libportal-gtk3-1:amd64 0.7.1-5build5 Installed
libportal-gtk4-1:amd64 0.7.1-5build5 Installed
libportal1:amd64 0.7.1-5build5 Installed
libportmidi0:amd64 1:217-6.1build3 Installed
libpostproc57:amd64 7:6.1.1-3ubuntu5 Installed
libppd2:amd64 2:2.0.0-0ubuntu4.1 Installed
libppd2-common 2:2.0.0-0ubuntu4.1 Installed
libproc2-0:amd64 2:4.0.4-4ubuntu3.2 Installed
libprotobuf-c1:amd64 1.4.1-1ubuntu4 Installed
libprotobuf-lite32t64:amd64 3.21.12-8.2ubuntu0.3 Installed
libprotobuf32t64:amd64 3.21.12-8.2ubuntu0.3 Installed
libproxy1-plugin-gsettings:amd64 0.5.4-4build1 Installed
libproxy1-plugin-networkmanager:amd64 0.5.4-4build1 Installed
libproxy1v5:amd64 0.5.4-4build1 Installed
libpsl5t64:amd64 0.21.2-1.1build1 Installed
libpthread-stubs0-dev:amd64 0.4-1build3 Installed
libpulse-mainloop-glib0:amd64 1:16.1+dfsg1-2ubuntu10.1 Installed
libpulse0:amd64 1:16.1+dfsg1-2ubuntu10.1 Installed
libpwquality-common 1.4.5-3build1 Installed
libpwquality1:amd64 1.4.5-3build1 Installed
libpython3-dev:amd64 3.12.3-0ubuntu2.1 Installed
libpython3-stdlib:amd64 3.12.3-0ubuntu2.1 Installed
libpython3.12-dev:amd64 3.12.3-1ubuntu0.15 Installed
libpython3.12-minimal:amd64 3.12.3-1ubuntu0.15 Installed
libpython3.12-stdlib:amd64 3.12.3-1ubuntu0.15 Installed
libpython3.12t64:amd64 3.12.3-1ubuntu0.15 Installed
libqhull-r8.0:amd64 2020.2-6build1 Installed
libqmi-glib5:amd64 1.35.2-0ubuntu2 Installed
libqmi-proxy 1.35.2-0ubuntu2 Installed
libqmi-utils 1.35.2-0ubuntu2 Installed
libqpdf29t64:amd64 11.9.0-1.1ubuntu0.1 Installed
libqrencode4:amd64 4.1.1-1build2 Installed
libqrtr-glib0:amd64 1.2.2-1ubuntu4 Installed
libquadmath0:amd64 14.2.0-4ubuntu2~24.04.1 Installed
librabbitmq4:amd64 0.11.0-1ubuntu0.1 Installed
libraptor2-0:amd64 2.0.16-3ubuntu0.1 Installed
libraqm0:amd64 0.10.1-1build1 Installed
librasqal3t64:amd64 0.9.33-2.1build1 Installed
librav1e0:amd64 0.7.1-2 Installed
libraw1394-11:amd64 2.1.2-2build3 Installed
libraw23t64:amd64 0.21.2-2.1ubuntu0.24.04.1 Installed
librdf0t64:amd64 1.0.17-3.1ubuntu3 Installed
libreadline8t64:amd64 8.2-4build1 Installed
libref-array1t64:amd64 0.6.2-2.1build1 Installed
libreoffice-base-core 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-calc 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-common 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-core 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-draw 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-gnome 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-gtk3 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-help-common 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-help-en-gb 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-help-en-us 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-impress 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-l10n-en-gb 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-l10n-en-za 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-math 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-style-colibre 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-style-elementary 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-style-yaru 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-uiconfig-calc 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-uiconfig-common 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-uiconfig-draw 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-uiconfig-impress 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-uiconfig-math 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-uiconfig-writer 4:24.2.7-0ubuntu0.24.04.5 Installed
libreoffice-writer 4:24.2.7-0ubuntu0.24.04.5 Installed
librest-1.0-0:amd64 0.9.1-6build3 Installed
librevenge-0.0-0:amd64 0.0.5-3build1 Installed
librhythmbox-core10:amd64 3.4.7-2ubuntu6 Installed
librist4:amd64 0.2.10+dfsg-2 Installed
libroc0.3:amd64 0.3.0+dfsg-7ubuntu2 Installed
librsvg2-2:amd64 2.58.0+dfsg-1build1 Installed
librsvg2-common:amd64 2.58.0+dfsg-1build1 Installed
librsync2t64:amd64 2.3.4-1.1ubuntu2 Installed
librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7 Installed
librubberband2:amd64 3.3.0+dfsg-2build1 Installed
librygel-core-2.8-0:amd64 0.42.5-1ubuntu3 Installed
librygel-db-2.8-0:amd64 0.42.5-1ubuntu3 Installed
librygel-renderer-2.8-0:amd64 0.42.5-1ubuntu3 Installed
librygel-server-2.8-0:amd64 0.42.5-1ubuntu3 Installed
libsamplerate0:amd64 0.2.2-4build1 Installed
libsane-common 1.2.1-7build4 Installed
libsane-hpaio:amd64 3.23.12+dfsg0-0ubuntu5.1 Installed
libsane1:amd64 1.2.1-7build4 Installed
libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1 Installed
libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1 Installed
libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1 Installed
libsasl2-modules-gssapi-mit:amd64 2.1.28+dfsg1-5ubuntu3.1 Installed
libsbc1:amd64 2.0-1build1 Installed
libsdl2-2.0-0:amd64 2.30.0+dfsg-1ubuntu3.1 Installed
libsdl2-image-2.0-0:amd64 2.8.2+dfsg-1build2 Installed
libsdl2-mixer-2.0-0:amd64 2.8.0+dfsg-1build3 Installed
libsdl2-ttf-2.0-0:amd64 2.22.0+dfsg-1 Installed
libseccomp2:amd64 2.5.5-1ubuntu3.1 Installed
libsecret-1-0:amd64 0.21.4-1build3 Installed
libsecret-common 0.21.4-1build3 Installed
libselinux1:amd64 3.5-2ubuntu2.1 Installed
libsemanage-common 3.5-1build5 Installed
libsemanage2:amd64 3.5-1build5 Installed
libsensors-config 1:3.6.0-9build1 Installed
libsensors5:amd64 1:3.6.0-9build1 Installed
libsensors5:i386 1:3.6.0-9build1 Installed
libsepol2:amd64 3.5-2build1 Installed
libserd-0-0:amd64 0.32.2-1 Installed
libsframe1:amd64 2.42-4ubuntu2.10 Installed
libsgutils2-1.46-2:amd64 1.46-3ubuntu4 Installed
libsharpyuv0:amd64 1.3.2-0.4build3 Installed
libshine3:amd64 3.1.1-2build1 Installed
libshout3:amd64 2.4.6-1build2 Installed
libsidplay1v5:amd64 1.36.60-1build1 Installed
libsigc++-2.0-0v5:amd64 2.12.1-2 Installed
libsigc++-3.0-0:amd64 3.6.0-2 Installed
libsigsegv2:amd64 2.14-1ubuntu2 Installed
libsixel1:amd64 1.10.3-3build1 Installed
libslang2:amd64 2.3.3-3build2 Installed
libsm-dev:amd64 2:1.2.3-1build3 Installed
libsm6:amd64 2:1.2.3-1build3 Installed
libsmartcols1:amd64 2.39.3-9ubuntu6.5 Installed
libsmbclient0:amd64 2:4.19.5+dfsg-4ubuntu9.6 Installed
libsnapd-glib-2-1:amd64 1.64-0ubuntu5 Installed
libsnappy1v5:amd64 1.1.10-1build1 Installed
libsndfile1:amd64 1.2.2-1ubuntu5.24.04.1 Installed
libsndio7.0:amd64 1.9.0-0.3build3 Installed
libsnmp-base 5.9.4+dfsg-1.1ubuntu3.2 Installed
libsnmp40t64:amd64 5.9.4+dfsg-1.1ubuntu3.2 Installed
libsodium23:amd64 1.0.18-1ubuntu0.24.04.1 Installed
libsonic0:amd64 0.2.0-13build1 Installed
libsord-0-0:amd64 0.16.16-2build1 Installed
libsoundtouch1:amd64 2.3.2+ds1-1build1 Installed
libsoup-2.4-1:amd64 2.74.3-6ubuntu1.6 Installed
libsoup-3.0-0:amd64 3.4.4-5ubuntu0.7 Installed
libsoup-3.0-common 3.4.4-5ubuntu0.7 Installed
libsoup2.4-common 2.74.3-6ubuntu1.6 Installed
libsource-highlight-common 3.1.9-4.3build1 Installed
libsource-highlight4t64:amd64 3.1.9-4.3build1 Installed
libsoxr0:amd64 0.1.3-4build3 Installed
libspa-0.2-bluetooth:amd64 1.0.5-1ubuntu3.2 Installed
libspa-0.2-modules:amd64 1.0.5-1ubuntu3.2 Installed
libspandsp2t64:amd64 0.0.6+dfsg-2.1build1 Installed
libspectre1:amd64 0.2.12-1build2 Installed
libspeechd2:amd64 0.12.0~rc2-2build3 Installed
libspeex1:amd64 1.2.1-2ubuntu2.24.04.1 Installed
libspeexdsp1:amd64 1.2.1-1ubuntu3 Installed
libsphinxbase3t64:amd64 0.8+5prealpha+1-17build2 Installed
libsqlite3-0:amd64 3.45.1-1ubuntu2.6 Installed
libsratom-0-0:amd64 0.6.16-1build1 Installed
libsrt1.5-gnutls:amd64 1.5.3-1build2 Installed
libsrtp2-1:amd64 2.5.0-3build1 Installed
libss2:amd64 1.47.0-2.4~exp1ubuntu4.1 Installed
libssh-4:amd64 0.10.6-2ubuntu0.4 Installed
libssh-gcrypt-4:amd64 0.10.6-2ubuntu0.4 Installed
libssh2-1t64:amd64 1.11.0-4.1ubuntu0.24.04.2 Installed
libssl3t64:amd64 3.0.13-0ubuntu3.11 Installed
libsss-certmap0 2.9.4-1.1ubuntu6.5 Installed
libsss-idmap0 2.9.4-1.1ubuntu6.5 Installed
libsss-nss-idmap0 2.9.4-1.1ubuntu6.5 Installed
libstartup-notification0:amd64 0.12-6build3 Installed
libstdc++-13-dev:amd64 13.3.0-6ubuntu2~24.04.1 Installed
libstdc++6:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libstdc++6:i386 14.2.0-4ubuntu2~24.04.1 Installed
libstemmer0d:amd64 2.2.0-4build1 Installed
libsuitesparseconfig7:amd64 1:7.6.1+dfsg-1build1 Installed
libsvtav1enc1d1:amd64 1.7.0+dfsg-2build1 Installed
libswresample4:amd64 7:6.1.1-3ubuntu5 Installed
libswscale7:amd64 7:6.1.1-3ubuntu5 Installed
libsynctex2:amd64 2023.20230311.66589-9build3 Installed
libsysmetrics1:amd64 1.7.3ubuntu0.24.04.3 Installed
libsystemd-shared:amd64 255.4-1ubuntu8.16 Installed
libsystemd0:amd64 255.4-1ubuntu8.16 Installed
libsz2:amd64 1.1.2-1build1 Installed
libtag1v5:amd64 1.13.1-1build1 Installed
libtag1v5-vanilla:amd64 1.13.1-1build1 Installed
libtalloc2:amd64 2.4.2-1build2 Installed
libtasn1-6:amd64 4.19.0-3ubuntu0.24.04.2 Installed
libtcl8.6:amd64 8.6.14+dfsg-1build1 Installed
libtdb1:amd64 1.4.10-1build1 Installed
libteamdctl0:amd64 1.31-1build3 Installed
libtevent0t64:amd64 0.16.1-2build1 Installed
libtext-charwidth-perl:amd64 0.04-11build3 Installed
libtext-iconv-perl:amd64 1.7-8build3 Installed
libtext-wrapi18n-perl 0.06-10 Installed
libthai-data 0.1.29-2build1 Installed
libthai0:amd64 0.1.29-2build1 Installed
libtheora0:amd64 1.1.1+dfsg.1-16.1build3 Installed
libtie-ixhash-perl 1.23-4 Installed
libtiff6:amd64 4.5.1+git230720-4ubuntu2.5 Installed
libtimedate-perl 2.3300-2 Installed
libtinfo6:amd64 6.4+20240113-1ubuntu2.1 Installed
libtinfo6:i386 6.4+20240113-1ubuntu2.1 Installed
libtirpc-common 1.3.4+ds-1.1build1 Installed
libtirpc3t64:amd64 1.3.4+ds-1.1build1 Installed
libtk8.6:amd64 8.6.14-1build1 Installed
libtotem-plparser-common 3.26.6-1build5 Installed
libtotem-plparser18:amd64 3.26.6-1build5 Installed
libtotem0:amd64 43.0-2ubuntu4 Installed
libtraceevent1:amd64 1:1.8.2-1ubuntu2.1 Installed
libtraceevent1-plugin:amd64 1:1.8.2-1ubuntu2.1 Installed
libtracefs1:amd64 1.8.0-1ubuntu1 Installed
libtracker-sparql-3.0-0:amd64 3.7.1-1build1 Installed
libtry-tiny-perl 0.31-2 Installed
libtsan2:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libtss2-esys-3.0.2-0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-mu-4.0.1-0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-rc0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-sys1t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tcti-cmd0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tcti-device0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tcti-libtpms0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tcti-mssim0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tcti-spi-helper0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tcti-swtpm0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtss2-tctildr0t64:amd64 4.0.1-7.1ubuntu5.1 Installed
libtwolame0:amd64 0.4.0-2build3 Installed
libu2f-udev 1.1.10-3build3 Installed
libubsan1:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libuchardet0:amd64 0.0.8-1build1 Installed
libudev1:amd64 255.4-1ubuntu8.16 Installed
libudfread0:amd64 1.1.2-1build1 Installed
libudisks2-0:amd64 2.10.1-6ubuntu1.3 Installed
libunibreak5:amd64 5.1-2build1 Installed
libunistring5:amd64 1.1-2build1.1 Installed
libunistring5:i386 1.1-2build1.1 Installed
libunity-protocol-private0:amd64 7.1.4+19.04.20190319-6build4 Installed
libunity-scopes-json-def-desktop 7.1.4+19.04.20190319-6build4 Installed
libunity9:amd64 7.1.4+19.04.20190319-6build4 Installed
libuno-cppu3t64 4:24.2.7-0ubuntu0.24.04.5 Installed
libuno-cppuhelpergcc3-3t64 4:24.2.7-0ubuntu0.24.04.5 Installed
libuno-purpenvhelpergcc3-3t64 4:24.2.7-0ubuntu0.24.04.5 Installed
libuno-sal3t64 4:24.2.7-0ubuntu0.24.04.5 Installed
libuno-salhelpergcc3-3t64 4:24.2.7-0ubuntu0.24.04.5 Installed
libunwind8:amd64 1.6.2-3build1.1 Installed
libupower-glib3:amd64 1.90.3-1 Installed
liburi-perl 5.27-1 Installed
libusb-1.0-0:amd64 2:1.0.27-1 Installed
libusbmuxd6:amd64 2.0.2-4build3 Installed
libuuid1:amd64 2.39.3-9ubuntu6.5 Installed
libuv1t64:amd64 1.48.0-1.1build1 Installed
libv4l-0t64:amd64 1.26.1-4build3 Installed
libv4lconvert0t64:amd64 1.26.1-4build3 Installed
libva-drm2:amd64 2.20.0-2ubuntu0.2 Installed
libva-wayland2:amd64 2.20.0-2ubuntu0.2 Installed
libva-x11-2:amd64 2.20.0-2ubuntu0.2 Installed
libva2:amd64 2.20.0-2ubuntu0.2 Installed
libvdpau1:amd64 1.5-2build1 Installed
libvidstab1.1:amd64 1.1.0-2build1 Installed
libvisio-0.1-1:amd64 0.1.7-1build9 Installed
libvisual-0.4-0:amd64 0.4.2-2build1 Installed
libvncclient1:amd64 0.9.14+dfsg-1ubuntu0.2 Installed
libvo-aacenc0:amd64 0.1.3-2build1 Installed
libvo-amrwbenc0:amd64 0.1.3-2build1 Installed
libvolume-key1:amd64 0.3.12-7build2 Installed
libvorbis0a:amd64 1.3.7-1build3 Installed
libvorbisenc2:amd64 1.3.7-1build3 Installed
libvorbisfile3:amd64 1.3.7-1build3 Installed
libvpl2 2023.3.0-1build1 Installed
libvpx9:amd64 1.14.0-1ubuntu2.3 Installed
libvte-2.91-0:amd64 0.76.0-1ubuntu0.1 Installed
libvte-2.91-common 0.76.0-1ubuntu0.1 Installed
libvulkan1:amd64 1.3.275.0-1build1 Installed
libwacom-common 2.10.0-2 Installed
libwacom9:amd64 2.10.0-2 Installed
libwavpack1:amd64 5.6.0-1build1 Installed
libwayland-client0:amd64 1.22.0-2.1build1 Installed
libwayland-client0:i386 1.22.0-2.1build1 Installed
libwayland-cursor0:amd64 1.22.0-2.1build1 Installed
libwayland-egl1:amd64 1.22.0-2.1build1 Installed
libwayland-server0:amd64 1.22.0-2.1build1 Installed
libwayland-server0:i386 1.22.0-2.1build1 Installed
libwbclient0:amd64 2:4.19.5+dfsg-4ubuntu9.6 Installed
libwebkit2gtk-4.1-0:amd64 2.52.3-0ubuntu0.24.04.1 Installed
libwebkitgtk-6.0-4:amd64 2.52.3-0ubuntu0.24.04.1 Installed
libwebp7:amd64 1.3.2-0.4build3 Installed
libwebpdemux2:amd64 1.3.2-0.4build3 Installed
libwebpmux3:amd64 1.3.2-0.4build3 Installed
libwebrtc-audio-processing1:amd64 0.3.1-0ubuntu6 Installed
libwhoopsie-preferences0 23build3 Installed
libwhoopsie0:amd64 0.2.77ubuntu0.1 Installed
libwildmidi2:amd64 0.4.3-1build3 Installed
libwinpr3-3:amd64 3.5.1+dfsg1-0ubuntu1.6 Installed
